Arrivals,Date,District,Grade,Market,Max,Min,Modal,QueryMarket,QueryMonth,QueryYear,Unit,Variety
550,20/03/2002,Hassan,FAQ,ARSIKERE,3200,3100,3150,ARSIKERE,MARCH,2002,Quintal,COPRA
100,09/04/2002,Hassan,FAQ,ARSIKERE,3105,3100,3102,ARSIKERE,APRIL,2002,Quintal,COPRA
85,12/04/2002,Hassan,FAQ,ARSIKERE,3110,3100,3105,ARSIKERE,APRIL,2002,Quintal,COPRA
75,16/04/2002,Hassan,FAQ,ARSIKERE,3110,3100,3105,ARSIKERE,APRIL,2002,Quintal,COPRA
150,17/04/2002,Hassan,FAQ,ARSIKERE,3075,3000,3050,ARSIKERE,APRIL,2002,Quintal,COPRA
60,19/04/2002,Hassan,FAQ,ARSIKERE,3005,3000,3003,ARSIKERE,APRIL,2002,Quintal,COPRA
140,20/04/2002,Hassan,FAQ,ARSIKERE,2700,2700,2700,ARSIKERE,APRIL,2002,Quintal,COPRA
75,23/04/2002,Hassan,FAQ,ARSIKERE,2980,2905,2970,ARSIKERE,APRIL,2002,Quintal,COPRA
345,24/04/2002,Hassan,FAQ,ARSIKERE,3100,2800,3000,ARSIKERE,APRIL,2002,Quintal,COPRA
150,26/04/2002,Hassan,FAQ,ARSIKERE,2955,2850,2930,ARSIKERE,APRIL,2002,Quintal,COPRA
95,03/05/2002,Hassan,FAQ,ARSIKERE,3010,2850,3005,ARSIKERE,MAY,2002,Quintal,COPRA
350,04/05/2002,Hassan,FAQ,ARSIKERE,3010,2750,2900,ARSIKERE,MAY,2002,Quintal,COPRA
65,07/05/2002,Hassan,FAQ,ARSIKERE,3005,3000,3003,ARSIKERE,MAY,2002,Quintal,COPRA
200,08/05/2002,Hassan,FAQ,ARSIKERE,2810,2800,2805,ARSIKERE,MAY,2002,Quintal,COPRA
160,10/05/2002,Hassan,FAQ,ARSIKERE,3040,3010,3030,ARSIKERE,MAY,2002,Quintal,COPRA
65,17/05/2002,Hassan,FAQ,ARSIKERE,3205,3200,3203,ARSIKERE,MAY,2002,Quintal,COPRA
65,21/05/2002,Hassan,FAQ,ARSIKERE,3235,3210,3210,ARSIKERE,MAY,2002,Quintal,COPRA
60,24/05/2002,Hassan,FAQ,ARSIKERE,3505,3500,3503,ARSIKERE,MAY,2002,Quintal,COPRA
65,28/05/2002,Hassan,FAQ,ARSIKERE,3390,3375,3380,ARSIKERE,MAY,2002,Quintal,COPRA
100,29/05/2002,Hassan,FAQ,ARSIKERE,3375,3350,3360,ARSIKERE,MAY,2002,Quintal,COPRA
100,31/05/2002,Hassan,FAQ,ARSIKERE,3550,3440,3500,ARSIKERE,MAY,2002,Quintal,COPRA
